[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] Running: cifar10_lira_none_split2_s42
[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:16:17][cifar10_lira_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:16:17][cifar10_lira_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:18:20][cifar10_lira_none_split2_s42][INFO] [Epoch 062][TRAIN] loss=0.2450 | train_acc=0.9144 | val_acc=0.8417 | asr=0.0430 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:22][cifar10_lira_none_split2_s42][INFO] [Epoch 063][TRAIN] loss=0.2385 | train_acc=0.9154 | val_acc=0.8368 | asr=0.0449 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:24][cifar10_lira_none_split2_s42][INFO] [Epoch 064][TRAIN] loss=0.2263 | train_acc=0.9185 | val_acc=0.8430 | asr=0.0894 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:26][cifar10_lira_none_split2_s42][INFO] [Epoch 065][TRAIN] loss=0.2333 | train_acc=0.9173 | val_acc=0.8446 | asr=0.0611 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:29][cifar10_lira_none_split2_s42][INFO] [Epoch 066][TRAIN] loss=0.1962 | train_acc=0.9294 | val_acc=0.8420 | asr=0.0467 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:31][cifar10_lira_none_split2_s42][INFO] [Epoch 067][TRAIN] loss=0.1963 | train_acc=0.9309 | val_acc=0.8505 | asr=0.0821 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:33][cifar10_lira_none_split2_s42][INFO] [Epoch 068][TRAIN] loss=0.1860 | train_acc=0.9337 | val_acc=0.8388 | asr=0.0474 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:35][cifar10_lira_none_split2_s42][INFO] [Epoch 069][TRAIN] loss=0.1986 | train_acc=0.9308 | val_acc=0.8448 | asr=0.0554 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:37][cifar10_lira_none_split2_s42][INFO] [Epoch 070][TRAIN] loss=0.1912 | train_acc=0.9330 | val_acc=0.8399 | asr=0.0359 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:39][cifar10_lira_none_split2_s42][INFO] [Epoch 071][TRAIN] loss=0.1796 | train_acc=0.9357 | val_acc=0.8493 | asr=0.0673 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:41][cifar10_lira_none_split2_s42][INFO] [Epoch 072][TRAIN] loss=0.1703 | train_acc=0.9401 | val_acc=0.8501 | asr=0.0849 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:43][cifar10_lira_none_split2_s42][INFO] [Epoch 073][TRAIN] loss=0.1703 | train_acc=0.9402 | val_acc=0.8470 | asr=0.0684 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:45][cifar10_lira_none_split2_s42][INFO] [Epoch 074][TRAIN] loss=0.1626 | train_acc=0.9438 | val_acc=0.8486 | asr=0.0574 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:47][cifar10_lira_none_split2_s42][INFO] [Epoch 075][TRAIN] loss=0.1528 | train_acc=0.9470 | val_acc=0.8512 | asr=0.0528 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:49][cifar10_lira_none_split2_s42][INFO] [Epoch 076][TRAIN] loss=0.1420 | train_acc=0.9499 | val_acc=0.8551 | asr=0.0530 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:51][cifar10_lira_none_split2_s42][INFO] [Epoch 077][TRAIN] loss=0.1472 | train_acc=0.9479 | val_acc=0.8508 | asr=0.0657 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:53][cifar10_lira_none_split2_s42][INFO] [Epoch 078][TRAIN] loss=0.1392 | train_acc=0.9515 | val_acc=0.8531 | asr=0.0482 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:55][cifar10_lira_none_split2_s42][INFO] [Epoch 079][TRAIN] loss=0.1358 | train_acc=0.9531 | val_acc=0.8538 | asr=0.0450 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:57][cifar10_lira_none_split2_s42][INFO] [Epoch 080][TRAIN] loss=0.1266 | train_acc=0.9554 | val_acc=0.8527 | asr=0.0447 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:59][cifar10_lira_none_split2_s42][INFO] [Epoch 081][TRAIN] loss=0.1304 | train_acc=0.9552 | val_acc=0.8534 | asr=0.0538 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:01][cifar10_lira_none_split2_s42][INFO] [Epoch 082][TRAIN] loss=0.1208 | train_acc=0.9583 | val_acc=0.8559 | asr=0.0391 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:03][cifar10_lira_none_split2_s42][INFO] [Epoch 083][TRAIN] loss=0.1215 | train_acc=0.9586 | val_acc=0.8534 | asr=0.0583 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:05][cifar10_lira_none_split2_s42][INFO] [Epoch 084][TRAIN] loss=0.1135 | train_acc=0.9608 | val_acc=0.8554 | asr=0.0520 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:07][cifar10_lira_none_split2_s42][INFO] [Epoch 085][TRAIN] loss=0.1058 | train_acc=0.9640 | val_acc=0.8518 | asr=0.0457 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:09][cifar10_lira_none_split2_s42][INFO] [Epoch 086][TRAIN] loss=0.1094 | train_acc=0.9630 | val_acc=0.8569 | asr=0.0604 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:11][cifar10_lira_none_split2_s42][INFO] [Epoch 087][TRAIN] loss=0.1040 | train_acc=0.9650 | val_acc=0.8551 | asr=0.0549 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:13][cifar10_lira_none_split2_s42][INFO] [Epoch 088][TRAIN] loss=0.1030 | train_acc=0.9644 | val_acc=0.8548 | asr=0.0673 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:15][cifar10_lira_none_split2_s42][INFO] [Epoch 089][TRAIN] loss=0.1001 | train_acc=0.9660 | val_acc=0.8523 | asr=0.0416 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:17][cifar10_lira_none_split2_s42][INFO] [Epoch 090][TRAIN] loss=0.1025 | train_acc=0.9646 | val_acc=0.8601 | asr=0.0433 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:19:19][cifar10_lira_none_split2_s42][INFO] [Epoch 091][TRAIN] loss=0.1012 | train_acc=0.9663 | val_acc=0.8586 | asr=0.0486 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
