[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Running: cifar10_blended_none_split2_s42
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:47:27][cifar10_blended_none_split2_s42][INFO] [Epoch 035][TRAIN] loss=0.6857 | train_acc=0.7726 | val_acc=0.8064 | asr=0.0417 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:29][cifar10_blended_none_split2_s42][INFO] [Epoch 036][TRAIN] loss=0.7038 | train_acc=0.7632 | val_acc=0.8158 | asr=0.0172 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:31][cifar10_blended_none_split2_s42][INFO] [Epoch 037][TRAIN] loss=0.6673 | train_acc=0.7809 | val_acc=0.8095 | asr=0.0260 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:33][cifar10_blended_none_split2_s42][INFO] [Epoch 038][TRAIN] loss=0.7220 | train_acc=0.7519 | val_acc=0.8118 | asr=0.0202 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:35][cifar10_blended_none_split2_s42][INFO] [Epoch 039][TRAIN] loss=0.6669 | train_acc=0.7823 | val_acc=0.8091 | asr=0.0457 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:37][cifar10_blended_none_split2_s42][INFO] [Epoch 040][TRAIN] loss=0.6307 | train_acc=0.7945 | val_acc=0.8195 | asr=0.0180 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:39][cifar10_blended_none_split2_s42][INFO] [Epoch 041][TRAIN] loss=0.6702 | train_acc=0.7726 | val_acc=0.8123 | asr=0.0190 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:41][cifar10_blended_none_split2_s42][INFO] [Epoch 042][TRAIN] loss=0.6797 | train_acc=0.7742 | val_acc=0.8101 | asr=0.0300 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:43][cifar10_blended_none_split2_s42][INFO] [Epoch 043][TRAIN] loss=0.6620 | train_acc=0.7779 | val_acc=0.8217 | asr=0.0267 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:45][cifar10_blended_none_split2_s42][INFO] [Epoch 044][TRAIN] loss=0.7058 | train_acc=0.7554 | val_acc=0.8180 | asr=0.0353 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
