[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Running: cifar10_badnets_none_split2_s42
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:41:06][cifar10_badnets_none_split2_s42][INFO] [Epoch 039][TRAIN] loss=0.3477 | train_acc=0.8791 | val_acc=0.8102 | asr=0.0439 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:08][cifar10_badnets_none_split2_s42][INFO] [Epoch 040][TRAIN] loss=0.3524 | train_acc=0.8754 | val_acc=0.8151 | asr=0.0182 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:10][cifar10_badnets_none_split2_s42][INFO] [Epoch 041][TRAIN] loss=0.3322 | train_acc=0.8837 | val_acc=0.8192 | asr=0.0476 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:12][cifar10_badnets_none_split2_s42][INFO] [Epoch 042][TRAIN] loss=0.3172 | train_acc=0.8880 | val_acc=0.8198 | asr=0.0237 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:14][cifar10_badnets_none_split2_s42][INFO] [Epoch 043][TRAIN] loss=0.3179 | train_acc=0.8872 | val_acc=0.8232 | asr=0.0228 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:16][cifar10_badnets_none_split2_s42][INFO] [Epoch 044][TRAIN] loss=0.2962 | train_acc=0.8939 | val_acc=0.8177 | asr=0.0773 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:18][cifar10_badnets_none_split2_s42][INFO] [Epoch 045][TRAIN] loss=0.3126 | train_acc=0.8892 | val_acc=0.8264 | asr=0.0181 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:20][cifar10_badnets_none_split2_s42][INFO] [Epoch 046][TRAIN] loss=0.3025 | train_acc=0.8928 | val_acc=0.8284 | asr=0.0198 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:22][cifar10_badnets_none_split2_s42][INFO] [Epoch 047][TRAIN] loss=0.2866 | train_acc=0.8981 | val_acc=0.8145 | asr=0.1054 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:24][cifar10_badnets_none_split2_s42][INFO] [Epoch 048][TRAIN] loss=0.2888 | train_acc=0.8966 | val_acc=0.8204 | asr=0.0331 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:26][cifar10_badnets_none_split2_s42][INFO] [Epoch 049][TRAIN] loss=0.2845 | train_acc=0.8990 | val_acc=0.8243 | asr=0.0403 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:28][cifar10_badnets_none_split2_s42][INFO] [Epoch 050][TRAIN] loss=0.2681 | train_acc=0.9054 | val_acc=0.8259 | asr=0.0159 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:30][cifar10_badnets_none_split2_s42][INFO] [Epoch 051][TRAIN] loss=0.2724 | train_acc=0.9036 | val_acc=0.8316 | asr=0.0208 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
