[2026-05-16 18:27:03][cifar10_wanet_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:27:03][cifar10_wanet_none_split2_s42][INFO] Running: cifar10_wanet_none_split2_s42
[2026-05-16 18:27:03][cifar10_wanet_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:27:04][cifar10_wanet_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:27:04][cifar10_wanet_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:29:15][cifar10_wanet_none_split2_s42][INFO] [Epoch 066][TRAIN] loss=0.1634 | train_acc=0.9428 | val_acc=0.8421 | asr=0.0969 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:17][cifar10_wanet_none_split2_s42][INFO] [Epoch 067][TRAIN] loss=0.1540 | train_acc=0.9456 | val_acc=0.8387 | asr=0.0762 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:19][cifar10_wanet_none_split2_s42][INFO] [Epoch 068][TRAIN] loss=0.1486 | train_acc=0.9478 | val_acc=0.8360 | asr=0.0502 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:21][cifar10_wanet_none_split2_s42][INFO] [Epoch 069][TRAIN] loss=0.1374 | train_acc=0.9513 | val_acc=0.8373 | asr=0.0442 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:23][cifar10_wanet_none_split2_s42][INFO] [Epoch 070][TRAIN] loss=0.1319 | train_acc=0.9528 | val_acc=0.8294 | asr=0.0660 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:25][cifar10_wanet_none_split2_s42][INFO] [Epoch 071][TRAIN] loss=0.1256 | train_acc=0.9552 | val_acc=0.8446 | asr=0.0694 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:27][cifar10_wanet_none_split2_s42][INFO] [Epoch 072][TRAIN] loss=0.1205 | train_acc=0.9575 | val_acc=0.8428 | asr=0.0931 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:29][cifar10_wanet_none_split2_s42][INFO] [Epoch 073][TRAIN] loss=0.1162 | train_acc=0.9588 | val_acc=0.8440 | asr=0.0358 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:31][cifar10_wanet_none_split2_s42][INFO] [Epoch 074][TRAIN] loss=0.1085 | train_acc=0.9621 | val_acc=0.8370 | asr=0.0420 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:33][cifar10_wanet_none_split2_s42][INFO] [Epoch 075][TRAIN] loss=0.1064 | train_acc=0.9621 | val_acc=0.8473 | asr=0.0549 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:35][cifar10_wanet_none_split2_s42][INFO] [Epoch 076][TRAIN] loss=0.1005 | train_acc=0.9655 | val_acc=0.8461 | asr=0.0664 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:37][cifar10_wanet_none_split2_s42][INFO] [Epoch 077][TRAIN] loss=0.0918 | train_acc=0.9675 | val_acc=0.8420 | asr=0.0694 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:39][cifar10_wanet_none_split2_s42][INFO] [Epoch 078][TRAIN] loss=0.0918 | train_acc=0.9681 | val_acc=0.8487 | asr=0.0647 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:41][cifar10_wanet_none_split2_s42][INFO] [Epoch 079][TRAIN] loss=0.0848 | train_acc=0.9707 | val_acc=0.8491 | asr=0.0467 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:43][cifar10_wanet_none_split2_s42][INFO] [Epoch 080][TRAIN] loss=0.0805 | train_acc=0.9718 | val_acc=0.8481 | asr=0.0470 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:45][cifar10_wanet_none_split2_s42][INFO] [Epoch 081][TRAIN] loss=0.0744 | train_acc=0.9737 | val_acc=0.8470 | asr=0.0494 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:47][cifar10_wanet_none_split2_s42][INFO] [Epoch 082][TRAIN] loss=0.0700 | train_acc=0.9759 | val_acc=0.8498 | asr=0.0549 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:49][cifar10_wanet_none_split2_s42][INFO] [Epoch 083][TRAIN] loss=0.0663 | train_acc=0.9769 | val_acc=0.8444 | asr=0.0672 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:51][cifar10_wanet_none_split2_s42][INFO] [Epoch 084][TRAIN] loss=0.0655 | train_acc=0.9778 | val_acc=0.8497 | asr=0.0506 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:53][cifar10_wanet_none_split2_s42][INFO] [Epoch 085][TRAIN] loss=0.0644 | train_acc=0.9777 | val_acc=0.8402 | asr=0.0694 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:55][cifar10_wanet_none_split2_s42][INFO] [Epoch 086][TRAIN] loss=0.0594 | train_acc=0.9802 | val_acc=0.8500 | asr=0.0863 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:57][cifar10_wanet_none_split2_s42][INFO] [Epoch 087][TRAIN] loss=0.0588 | train_acc=0.9802 | val_acc=0.8451 | asr=0.0598 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:59][cifar10_wanet_none_split2_s42][INFO] [Epoch 088][TRAIN] loss=0.0536 | train_acc=0.9824 | val_acc=0.8527 | asr=0.0818 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:30:01][cifar10_wanet_none_split2_s42][INFO] [Epoch 089][TRAIN] loss=0.0506 | train_acc=0.9832 | val_acc=0.8394 | asr=0.0696 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:30:03][cifar10_wanet_none_split2_s42][INFO] [Epoch 090][TRAIN] loss=0.0517 | train_acc=0.9828 | val_acc=0.8518 | asr=0.0631 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:30:05][cifar10_wanet_none_split2_s42][INFO] [Epoch 091][TRAIN] loss=0.0469 | train_acc=0.9843 | val_acc=0.8502 | asr=0.0654 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
